"month","crime","count"
2002-12-01,"PUBLIC PEACE VIOLATION",143
2002-12-01,"ROBBERY",1526
2002-12-01,"SEX OFFENSE",141
2002-12-01,"STALKING",15
2002-12-01,"THEFT",7827
2002-12-01,"WEAPONS VIOLATION",309
2003-01-01,"ARSON",63
2003-01-01,"ASSAULT",2014
2003-01-01,"BATTERY",6127
2003-01-01,"BURGLARY",2038
2003-01-01,"CRIM SEXUAL ASSAULT",136
2003-01-01,"CRIMINAL DAMAGE",3793
2003-01-01,"CRIMINAL TRESPASS",1229
2003-01-01,"DECEPTIVE PRACTICE",1158
2003-01-01,"GAMBLING",36
2003-01-01,"HOMICIDE",39
2003-01-01,"INTERFERENCE WITH PUBLIC OFFICER",40
2003-01-01,"INTIMIDATION",38
2003-01-01,"KIDNAPPING",47
2003-01-01,"LIQUOR LAW VIOLATION",124
2003-01-01,"MOTOR VEHICLE THEFT",1750
2003-01-01,"NARCOTICS",4742
2003-01-01,"OBSCENITY",2
2003-01-01,"OFFENSE INVOLVING CHILDREN",300
2003-01-01,"OTHER OFFENSE",2881
2003-01-01,"PROSTITUTION",610
2003-01-01,"PUBLIC PEACE VIOLATION",165
2003-01-01,"RITUALISM",1
2003-01-01,"ROBBERY",1324
2003-01-01,"SEX OFFENSE",178
2003-01-01,"STALKING",26
2003-01-01,"THEFT",7487
2003-01-01,"WEAPONS VIOLATION",355
2003-02-01,"ARSON",58
2003-02-01,"ASSAULT",1983
2003-02-01,"BATTERY",5686
2003-02-01,"BURGLARY",1585
2003-02-01,"CRIM SEXUAL ASSAULT",116
2003-02-01,"CRIMINAL DAMAGE",3430
2003-02-01,"CRIMINAL TRESPASS",1181
2003-02-01,"DECEPTIVE PRACTICE",1010
2003-02-01,"GAMBLING",37
2003-02-01,"HOMICIDE",31
2003-02-01,"INTERFERENCE WITH PUBLIC OFFICER",24
2003-02-01,"INTIMIDATION",12
2003-02-01,"KIDNAPPING",37
2003-02-01,"LIQUOR LAW VIOLATION",124
2003-02-01,"MOTOR VEHICLE THEFT",1499
2003-02-01,"NARCOTICS",4382
2003-02-01,"OFFENSE INVOLVING CHILDREN",201
2003-02-01,"OTHER NARCOTIC VIOLATION",2
2003-02-01,"OTHER OFFENSE",2560
2003-02-01,"PROSTITUTION",446
2003-02-01,"PUBLIC INDECENCY",1
2003-02-01,"PUBLIC PEACE VIOLATION",186
2003-02-01,"ROBBERY",985
2003-02-01,"SEX OFFENSE",151
2003-02-01,"STALKING",10
2003-02-01,"THEFT",6496
2003-02-01,"WEAPONS VIOLATION",273
2003-03-01,"ARSON",72
2003-03-01,"ASSAULT",2446
2003-03-01,"BATTERY",7400
2003-03-01,"BURGLARY",1943
2003-03-01,"CRIM SEXUAL ASSAULT",119
2003-03-01,"CRIMINAL DAMAGE",4493
2003-03-01,"CRIMINAL TRESPASS",1293
2003-03-01,"DECEPTIVE PRACTICE",1100
2003-03-01,"GAMBLING",65
2003-03-01,"HOMICIDE",52
2003-03-01,"INTERFERENCE WITH PUBLIC OFFICER",31
2003-03-01,"INTIMIDATION",33
2003-03-01,"KIDNAPPING",58
2003-03-01,"LIQUOR LAW VIOLATION",115
2003-03-01,"MOTOR VEHICLE THEFT",1800
2003-03-01,"NARCOTICS",4289
2003-03-01,"NON-CRIMINAL",1
2003-03-01,"OFFENSE INVOLVING CHILDREN",245
2003-03-01,"OTHER OFFENSE",2924
2003-03-01,"PROSTITUTION",452
2003-03-01,"PUBLIC INDECENCY",2
2003-03-01,"PUBLIC PEACE VIOLATION",228
2003-03-01,"ROBBERY",1310
2003-03-01,"SEX OFFENSE",146
2003-03-01,"STALKING",23
2003-03-01,"THEFT",7643
2003-03-01,"WEAPONS VIOLATION",367
2003-04-01,"ARSON",73
2003-04-01,"ASSAULT",2450
2003-04-01,"BATTERY",7655
2003-04-01,"BURGLARY",2035
2003-04-01,"CRIM SEXUAL ASSAULT",121
2003-04-01,"CRIMINAL DAMAGE",5234
2003-04-01,"CRIMINAL TRESPASS",1216
2003-04-01,"DECEPTIVE PRACTICE",1156
2003-04-01,"GAMBLING",91
2003-04-01,"HOMICIDE",57
2003-04-01,"INTERFERENCE WITH PUBLIC OFFICER",39
2003-04-01,"INTIMIDATION",31
2003-04-01,"KIDNAPPING",57
2003-04-01,"LIQUOR LAW VIOLATION",119
2003-04-01,"MOTOR VEHICLE THEFT",1895
2003-04-01,"NARCOTICS",4311
2003-04-01,"OBSCENITY",2
2003-04-01,"OFFENSE INVOLVING CHILDREN",215
2003-04-01,"OTHER OFFENSE",2755
2003-04-01,"PROSTITUTION",488
2003-04-01,"PUBLIC PEACE VIOLATION",185
2003-04-01,"ROBBERY",1296
2003-04-01,"SEX OFFENSE",156
2003-04-01,"STALKING",22
2003-04-01,"THEFT",7794
2003-04-01,"WEAPONS VIOLATION",335
2003-05-01,"ARSON",94
2003-05-01,"ASSAULT",2851
2003-05-01,"BATTERY",8253
2003-05-01,"BURGLARY",2089
2003-05-01,"CRIM SEXUAL ASSAULT",144
2003-05-01,"CRIMINAL DAMAGE",4874
2003-05-01,"CRIMINAL TRESPASS",1220
2003-05-01,"DECEPTIVE PRACTICE",1162
2003-05-01,"GAMBLING",121
2003-05-01,"HOMICIDE",59
2003-05-01,"INTERFERENCE WITH PUBLIC OFFICER",32
2003-05-01,"INTIMIDATION",34
2003-05-01,"KIDNAPPING",84
2003-05-01,"LIQUOR LAW VIOLATION",123
2003-05-01,"MOTOR VEHICLE THEFT",1920
2003-05-01,"NARCOTICS",4419
2003-05-01,"OBSCENITY",1
2003-05-01,"OFFENSE INVOLVING CHILDREN",265
2003-05-01,"OTHER OFFENSE",2565
2003-05-01,"PROSTITUTION",519
2003-05-01,"PUBLIC PEACE VIOLATION",245
2003-05-01,"ROBBERY",1447
2003-05-01,"SEX OFFENSE",184
2003-05-01,"STALKING",21
2003-05-01,"THEFT",8102
2003-05-01,"WEAPONS VIOLATION",361
2003-06-01,"ARSON",86
2003-06-01,"ASSAULT",2619
2003-06-01,"BATTERY",8553
2003-06-01,"BURGLARY",2103
2003-06-01,"CRIM SEXUAL ASSAULT",147
2003-06-01,"CRIMINAL DAMAGE",4928
2003-06-01,"CRIMINAL TRESPASS",1140
2003-06-01,"DECEPTIVE PRACTICE",1115
2003-06-01,"GAMBLING",115
2003-06-01,"HOMICIDE",52
2003-06-01,"INTERFERENCE WITH PUBLIC OFFICER",31
2003-06-01,"INTIMIDATION",28
2003-06-01,"KIDNAPPING",68
2003-06-01,"LIQUOR LAW VIOLATION",123
2003-06-01,"MOTOR VEHICLE THEFT",1905
2003-06-01,"NARCOTICS",3984
2003-06-01,"OBSCENITY",1
2003-06-01,"OFFENSE INVOLVING CHILDREN",250
2003-06-01,"OTHER OFFENSE",2529
2003-06-01,"PROSTITUTION",483
2003-06-01,"PUBLIC PEACE VIOLATION",226
2003-06-01,"ROBBERY",1532
2003-06-01,"SEX OFFENSE",200
2003-06-01,"STALKING",24
2003-06-01,"THEFT",8199
2003-06-01,"WEAPONS VIOLATION",371
2003-07-01,"ARSON",84
2003-07-01,"ASSAULT",2793
2003-07-01,"BATTERY",8464
2003-07-01,"BURGLARY",2233
2003-07-01,"CRIM SEXUAL ASSAULT",134
2003-07-01,"CRIMINAL DAMAGE",4966
2003-07-01,"CRIMINAL TRESPASS",1147
2003-07-01,"DECEPTIVE PRACTICE",1129
2003-07-01,"GAMBLING",132
2003-07-01,"HOMICIDE",68
2003-07-01,"INTERFERENCE WITH PUBLIC OFFICER",31
2003-07-01,"INTIMIDATION",30
2003-07-01,"KIDNAPPING",57
2003-07-01,"LIQUOR LAW VIOLATION",93
2003-07-01,"MOTOR VEHICLE THEFT",2088
2003-07-01,"NARCOTICS",4079
2003-07-01,"OBSCENITY",1
2003-07-01,"OFFENSE INVOLVING CHILDREN",278
2003-07-01,"OTHER OFFENSE",2647
2003-07-01,"PROSTITUTION",563
2003-07-01,"PUBLIC INDECENCY",1
2003-07-01,"PUBLIC PEACE VIOLATION",184
2003-07-01,"ROBBERY",1630
2003-07-01,"SEX OFFENSE",219
2003-07-01,"STALKING",22
2003-07-01,"THEFT",9994
2003-07-01,"WEAPONS VIOLATION",344
2003-08-01,"ARSON",87
2003-08-01,"ASSAULT",2822
2003-08-01,"BATTERY",8252
2003-08-01,"BURGLARY",2330
2003-08-01,"CRIM SEXUAL ASSAULT",182
2003-08-01,"CRIMINAL DAMAGE",5057
2003-08-01,"CRIMINAL TRESPASS",1307
2003-08-01,"DECEPTIVE PRACTICE",1146
2003-08-01,"GAMBLING",136
2003-08-01,"HOMICIDE",48
2003-08-01,"INTERFERENCE WITH PUBLIC OFFICER",40
2003-08-01,"INTIMIDATION",28
2003-08-01,"KIDNAPPING",56
2003-08-01,"LIQUOR LAW VIOLATION",133
2003-08-01,"MOTOR VEHICLE THEFT",2035
2003-08-01,"NARCOTICS",4732
2003-08-01,"OBSCENITY",3
2003-08-01,"OFFENSE INVOLVING CHILDREN",277
2003-08-01,"OTHER OFFENSE",2715
2003-08-01,"PROSTITUTION",563
2003-08-01,"PUBLIC PEACE VIOLATION",209
2003-08-01,"ROBBERY",1714
2003-08-01,"SEX OFFENSE",187
2003-08-01,"STALKING",24
2003-08-01,"THEFT",9846
2003-08-01,"WEAPONS VIOLATION",334
2003-09-01,"ARSON",92
2003-09-01,"ASSAULT",2706
2003-09-01,"BATTERY",7508
2003-09-01,"BURGLARY",2267
2003-09-01,"CRIM SEXUAL ASSAULT",133
2003-09-01,"CRIMINAL DAMAGE",4672
2003-09-01,"CRIMINAL TRESPASS",1251
2003-09-01,"DECEPTIVE PRACTICE",1097
2003-09-01,"GAMBLING",128
2003-09-01,"HOMICIDE",51
2003-09-01,"INTERFERENCE WITH PUBLIC OFFICER",47
2003-09-01,"INTIMIDATION",33
2003-09-01,"KIDNAPPING",71
2003-09-01,"LIQUOR LAW VIOLATION",96
2003-09-01,"MOTOR VEHICLE THEFT",2020
2003-09-01,"NARCOTICS",4829
2003-09-01,"OBSCENITY",2
2003-09-01,"OFFENSE INVOLVING CHILDREN",273
2003-09-01,"OTHER OFFENSE",2376
2003-09-01,"PROSTITUTION",570
2003-09-01,"PUBLIC INDECENCY",1
2003-09-01,"PUBLIC PEACE VIOLATION",232
2003-09-01,"ROBBERY",1581
2003-09-01,"SEX OFFENSE",179
2003-09-01,"STALKING",17
2003-09-01,"THEFT",8830
2003-09-01,"WEAPONS VIOLATION",359
2003-10-01,"ARSON",89
2003-10-01,"ASSAULT",2580
2003-10-01,"BATTERY",7776
2003-10-01,"BURGLARY",2349
2003-10-01,"CRIM SEXUAL ASSAULT",130
2003-10-01,"CRIMINAL DAMAGE",4977
2003-10-01,"CRIMINAL TRESPASS",1263
2003-10-01,"DECEPTIVE PRACTICE",1146
2003-10-01,"GAMBLING",100
2003-10-01,"HOMICIDE",53
2003-10-01,"INTERFERENCE WITH PUBLIC OFFICER",31
2003-10-01,"INTIMIDATION",50
2003-10-01,"KIDNAPPING",48
2003-10-01,"LIQUOR LAW VIOLATION",101
2003-10-01,"MOTOR VEHICLE THEFT",1980
2003-10-01,"NARCOTICS",5821
2003-10-01,"OBSCENITY",1
2003-10-01,"OFFENSE INVOLVING CHILDREN",251
2003-10-01,"OTHER OFFENSE",2525
2003-10-01,"PROSTITUTION",580
2003-10-01,"PUBLIC PEACE VIOLATION",219
2003-10-01,"ROBBERY",1665
2003-10-01,"SEX OFFENSE",199
2003-10-01,"STALKING",22
2003-10-01,"THEFT",8924
2003-10-01,"WEAPONS VIOLATION",447
2003-11-01,"ARSON",83
2003-11-01,"ASSAULT",2154
2003-11-01,"BATTERY",6580
2003-11-01,"BURGLARY",2108
2003-11-01,"CRIM SEXUAL ASSAULT",132
2003-11-01,"CRIMINAL DAMAGE",4583
2003-11-01,"CRIMINAL TRESPASS",1363
2003-11-01,"DECEPTIVE PRACTICE",1071
2003-11-01,"GAMBLING",80
2003-11-01,"HOMICIDE",51
2003-11-01,"INTERFERENCE WITH PUBLIC OFFICER",35
2003-11-01,"INTIMIDATION",27
2003-11-01,"KIDNAPPING",56
2003-11-01,"LIQUOR LAW VIOLATION",92
2003-11-01,"MOTOR VEHICLE THEFT",1933
2003-11-01,"NARCOTICS",4703
2003-11-01,"OBSCENITY",1
2003-11-01,"OFFENSE INVOLVING CHILDREN",252
2003-11-01,"OTHER OFFENSE",2342
2003-11-01,"PROSTITUTION",415
2003-11-01,"PUBLIC PEACE VIOLATION",186
2003-11-01,"RITUALISM",1
2003-11-01,"ROBBERY",1418
2003-11-01,"SEX OFFENSE",156
2003-11-01,"STALKING",17
2003-11-01,"THEFT",7868
2003-11-01,"WEAPONS VIOLATION",347
2003-12-01,"ARSON",74
2003-12-01,"ASSAULT",2059
2003-12-01,"BATTERY",6123
2003-12-01,"BURGLARY",2076
2003-12-01,"CRIM SEXUAL ASSAULT",93
2003-12-01,"CRIMINAL DAMAGE",4004
2003-12-01,"CRIMINAL TRESPASS",1197
2003-12-01,"DECEPTIVE PRACTICE",1153
2003-12-01,"GAMBLING",47
2003-12-01,"HOMICIDE",43
2003-12-01,"INTERFERENCE WITH PUBLIC OFFICER",27
2003-12-01,"INTIMIDATION",20
2003-12-01,"KIDNAPPING",66
2003-12-01,"LIQUOR LAW VIOLATION",68
2003-12-01,"MOTOR VEHICLE THEFT",1923
2003-12-01,"NARCOTICS",3997
2003-12-01,"OBSCENITY",2
2003-12-01,"OFFENSE INVOLVING CHILDREN",224
2003-12-01,"OTHER OFFENSE",2328
2003-12-01,"PROSTITUTION",525
2003-12-01,"PUBLIC INDECENCY",1
2003-12-01,"PUBLIC PEACE VIOLATION",165
2003-12-01,"ROBBERY",1430
2003-12-01,"SEX OFFENSE",113
2003-12-01,"STALKING",19
2003-12-01,"THEFT",7692
2003-12-01,"WEAPONS VIOLATION",318
2004-01-01,"ARSON",73
2004-01-01,"ASSAULT",1959
2004-01-01,"BATTERY",6095
2004-01-01,"BURGLARY",1758
2004-01-01,"CRIM SEXUAL ASSAULT",154
2004-01-01,"CRIMINAL DAMAGE",3482
2004-01-01,"CRIMINAL TRESPASS",1311
2004-01-01,"DECEPTIVE PRACTICE",1136
2004-01-01,"GAMBLING",33
2004-01-01,"HOMICIDE",29
2004-01-01,"INTERFERENCE WITH PUBLIC OFFICER",29
2004-01-01,"INTIMIDATION",29
2004-01-01,"KIDNAPPING",53
2004-01-01,"LIQUOR LAW VIOLATION",71
2004-01-01,"MOTOR VEHICLE THEFT",1788
2004-01-01,"NARCOTICS",4759
2004-01-01,"OBSCENITY",1
2004-01-01,"OFFENSE INVOLVING CHILDREN",328
2004-01-01,"OTHER NARCOTIC VIOLATION",1
2004-01-01,"OTHER OFFENSE",2724
2004-01-01,"PROSTITUTION",539
2004-01-01,"PUBLIC INDECENCY",1
2004-01-01,"PUBLIC PEACE VIOLATION",191
2004-01-01,"ROBBERY",1255
2004-01-01,"SEX OFFENSE",140
2004-01-01,"STALKING",17
2004-01-01,"THEFT",6773
2004-01-01,"WEAPONS VIOLATION",366
2004-02-01,"ARSON",70
2004-02-01,"ASSAULT",2064
2004-02-01,"BATTERY",6276
2004-02-01,"BURGLARY",1584
2004-02-01,"CRIM SEXUAL ASSAULT",122
2004-02-01,"CRIMINAL DAMAGE",3379
2004-02-01,"CRIMINAL TRESPASS",1319
2004-02-01,"DECEPTIVE PRACTICE",977
2004-02-01,"GAMBLING",45
2004-02-01,"HOMICIDE",36
2004-02-01,"INTERFERENCE WITH PUBLIC OFFICER",37
2004-02-01,"INTIMIDATION",32
2004-02-01,"KIDNAPPING",53
2004-02-01,"LIQUOR LAW VIOLATION",75
2004-02-01,"MOTOR VEHICLE THEFT",1664
2004-02-01,"NARCOTICS",5029
2004-02-01,"OFFENSE INVOLVING CHILDREN",281
2004-02-01,"OTHER OFFENSE",2562
2004-02-01,"PROSTITUTION",517
2004-02-01,"PUBLIC INDECENCY",1
2004-02-01,"PUBLIC PEACE VIOLATION",199
2004-02-01,"ROBBERY",1027
2004-02-01,"SEX OFFENSE",127
2004-02-01,"STALKING",21
2004-02-01,"THEFT",6274
2004-02-01,"WEAPONS VIOLATION",296
2004-03-01,"ARSON",67
2004-03-01,"ASSAULT",2584
2004-03-01,"BATTERY",7556
2004-03-01,"BURGLARY",1875
2004-03-01,"CRIM SEXUAL ASSAULT",118
2004-03-01,"CRIMINAL DAMAGE",4596
2004-03-01,"CRIMINAL TRESPASS",1494
2004-03-01,"DECEPTIVE PRACTICE",1120
2004-03-01,"GAMBLING",71
2004-03-01,"HOMICIDE",43
2004-03-01,"INTERFERENCE WITH PUBLIC OFFICER",44
2004-03-01,"INTIMIDATION",33
2004-03-01,"KIDNAPPING",50
2004-03-01,"LIQUOR LAW VIOLATION",98
2004-03-01,"MOTOR VEHICLE THEFT",1908
2004-03-01,"NARCOTICS",5020
2004-03-01,"OBSCENITY",3
2004-03-01,"OFFENSE INVOLVING CHILDREN",249
2004-03-01,"OTHER OFFENSE",2795
2004-03-01,"PROSTITUTION",646
2004-03-01,"PUBLIC INDECENCY",1
2004-03-01,"PUBLIC PEACE VIOLATION",228
2004-03-01,"ROBBERY",1229
2004-03-01,"SEX OFFENSE",139
2004-03-01,"STALKING",25
2004-03-01,"THEFT",7485
2004-03-01,"WEAPONS VIOLATION",373
2004-04-01,"ARSON",57
2004-04-01,"ASSAULT",2393
2004-04-01,"BATTERY",7335
2004-04-01,"BURGLARY",1887
2004-04-01,"CRIM SEXUAL ASSAULT",122
2004-04-01,"CRIMINAL DAMAGE",4495
2004-04-01,"CRIMINAL TRESPASS",1377
2004-04-01,"DECEPTIVE PRACTICE",1104
2004-04-01,"GAMBLING",112
2004-04-01,"HOMICIDE",30
2004-04-01,"INTERFERENCE WITH PUBLIC OFFICER",39
2004-04-01,"INTIMIDATION",34
2004-04-01,"KIDNAPPING",45
2004-04-01,"LIQUOR LAW VIOLATION",81
2004-04-01,"MOTOR VEHICLE THEFT",1936
2004-04-01,"NARCOTICS",4829
2004-04-01,"OBSCENITY",2
2004-04-01,"OFFENSE INVOLVING CHILDREN",244
2004-04-01,"OTHER OFFENSE",2487
2004-04-01,"PROSTITUTION",686
2004-04-01,"PUBLIC INDECENCY",3
2004-04-01,"PUBLIC PEACE VIOLATION",179
2004-04-01,"ROBBERY",1143
2004-04-01,"SEX OFFENSE",142
2004-04-01,"STALKING",21
2004-04-01,"THEFT",7123
2004-04-01,"WEAPONS VIOLATION",359
2004-05-01,"ARSON",67
2004-05-01,"ASSAULT",2777
2004-05-01,"BATTERY",8430
2004-05-01,"BURGLARY",2014
2004-05-01,"CRIM SEXUAL ASSAULT",145
2004-05-01,"CRIMINAL DAMAGE",4654
2004-05-01,"CRIMINAL TRESPASS",1337
2004-05-01,"DECEPTIVE PRACTICE",1098
2004-05-01,"GAMBLING",124
2004-05-01,"HOMICIDE",34
2004-05-01,"INTERFERENCE WITH PUBLIC OFFICER",39
2004-05-01,"INTIMIDATION",26
2004-05-01,"KIDNAPPING",38
2004-05-01,"LIQUOR LAW VIOLATION",86
2004-05-01,"MOTOR VEHICLE THEFT",1968
2004-05-01,"NARCOTICS",4500
2004-05-01,"OBSCENITY",1
2004-05-01,"OFFENSE INVOLVING CHILDREN",261
2004-05-01,"OTHER NARCOTIC VIOLATION",4
2004-05-01,"OTHER OFFENSE",2551
2004-05-01,"PROSTITUTION",671
2004-05-01,"PUBLIC PEACE VIOLATION",240
2004-05-01,"ROBBERY",1396
2004-05-01,"SEX OFFENSE",160
2004-05-01,"STALKING",12
2004-05-01,"THEFT",7729
2004-05-01,"WEAPONS VIOLATION",417
2004-06-01,"ARSON",68
2004-06-01,"ASSAULT",2761
2004-06-01,"BATTERY",8326
2004-06-01,"BURGLARY",2131
2004-06-01,"CRIM SEXUAL ASSAULT",152
2004-06-01,"CRIMINAL DAMAGE",4860
2004-06-01,"CRIMINAL TRESPASS",1289
2004-06-01,"DECEPTIVE PRACTICE",1099
2004-06-01,"GAMBLING",130
2004-06-01,"HOMICIDE",46
2004-06-01,"INTERFERENCE WITH PUBLIC OFFICER",52
2004-06-01,"INTIMIDATION",32
2004-06-01,"KIDNAPPING",33
2004-06-01,"LIQUOR LAW VIOLATION",99
2004-06-01,"MOTOR VEHICLE THEFT",1975
2004-06-01,"NARCOTICS",4254
2004-06-01,"OFFENSE INVOLVING CHILDREN",245
2004-06-01,"OTHER NARCOTIC VIOLATION",1
2004-06-01,"OTHER OFFENSE",2432
2004-06-01,"PROSTITUTION",580
2004-06-01,"PUBLIC INDECENCY",1
2004-06-01,"PUBLIC PEACE VIOLATION",236
2004-06-01,"ROBBERY",1336
2004-06-01,"SEX OFFENSE",186
2004-06-01,"STALKING",15
2004-06-01,"THEFT",8417
2004-06-01,"WEAPONS VIOLATION",375
2004-07-01,"ARSON",87
2004-07-01,"ASSAULT",2720
2004-07-01,"BATTERY",8074
2004-07-01,"BURGLARY",2324
2004-07-01,"CRIM SEXUAL ASSAULT",143
2004-07-01,"CRIMINAL DAMAGE",4902
2004-07-01,"CRIMINAL TRESPASS",1277
2004-07-01,"DECEPTIVE PRACTICE",1114
2004-07-01,"GAMBLING",136
2004-07-01,"HOMICIDE",53
2004-07-01,"INTERFERENCE WITH PUBLIC OFFICER",36
2004-07-01,"INTIMIDATION",29
2004-07-01,"KIDNAPPING",35
2004-07-01,"LIQUOR LAW VIOLATION",99
2004-07-01,"MOTOR VEHICLE THEFT",2029
2004-07-01,"NARCOTICS",4587
2004-07-01,"OFFENSE INVOLVING CHILDREN",258
2004-07-01,"OTHER OFFENSE",2295
2004-07-01,"PROSTITUTION",700
2004-07-01,"PUBLIC PEACE VIOLATION",225
2004-07-01,"ROBBERY",1497
2004-07-01,"SEX OFFENSE",181
2004-07-01,"STALKING",17
2004-07-01,"THEFT",10071
2004-07-01,"WEAPONS VIOLATION",344
2004-08-01,"ARSON",63
2004-08-01,"ASSAULT",2512
2004-08-01,"BATTERY",7635
2004-08-01,"BURGLARY",2276
2004-08-01,"CRIM SEXUAL ASSAULT",154
2004-08-01,"CRIMINAL DAMAGE",4935
2004-08-01,"CRIMINAL TRESPASS",1290
2004-08-01,"DECEPTIVE PRACTICE",1137
2004-08-01,"GAMBLING",158
2004-08-01,"HOMICIDE",53
2004-08-01,"INTERFERENCE WITH PUBLIC OFFICER",46
2004-08-01,"INTIMIDATION",28
2004-08-01,"KIDNAPPING",23
2004-08-01,"LIQUOR LAW VIOLATION",90
2004-08-01,"MOTOR VEHICLE THEFT",1983
2004-08-01,"NARCOTICS",4950
2004-08-01,"OBSCENITY",1
2004-08-01,"OFFENSE INVOLVING CHILDREN",234
2004-08-01,"OTHER NARCOTIC VIOLATION",1
2004-08-01,"OTHER OFFENSE",2510
2004-08-01,"PROSTITUTION",729
2004-08-01,"PUBLIC INDECENCY",1
2004-08-01,"PUBLIC PEACE VIOLATION",209
2004-08-01,"ROBBERY",1420
2004-08-01,"SEX OFFENSE",187
2004-08-01,"STALKING",18
2004-08-01,"THEFT",10039
2004-08-01,"WEAPONS VIOLATION",362
2004-09-01,"ARSON",61
2004-09-01,"ASSAULT",2691
2004-09-01,"BATTERY",7788
2004-09-01,"BURGLARY",2230
2004-09-01,"CRIM SEXUAL ASSAULT",138
2004-09-01,"CRIMINAL DAMAGE",4481
2004-09-01,"CRIMINAL TRESPASS",1308
2004-09-01,"DECEPTIVE PRACTICE",1096
2004-09-01,"GAMBLING",115
2004-09-01,"HOMICIDE",33
2004-09-01,"INTERFERENCE WITH PUBLIC OFFICER",65
2004-09-01,"INTIMIDATION",31
2004-09-01,"KIDNAPPING",31
2004-09-01,"LIQUOR LAW VIOLATION",96
2004-09-01,"MOTOR VEHICLE THEFT",1877
2004-09-01,"NARCOTICS",5102
2004-09-01,"OBSCENITY",1
2004-09-01,"OFFENSE INVOLVING CHILDREN",253
2004-09-01,"OTHER NARCOTIC VIOLATION",1
2004-09-01,"OTHER OFFENSE",2235
2004-09-01,"PROSTITUTION",715
2004-09-01,"PUBLIC PEACE VIOLATION",201
2004-09-01,"RITUALISM",1
2004-09-01,"ROBBERY",1441
2004-09-01,"SEX OFFENSE",174
2004-09-01,"STALKING",13
2004-09-01,"THEFT",8670
2004-09-01,"WEAPONS VIOLATION",362
2004-10-01,"ARSON",53
2004-10-01,"ASSAULT",2494
2004-10-01,"BATTERY",7544
2004-10-01,"BURGLARY",2169
2004-10-01,"CRIM SEXUAL ASSAULT",109
2004-10-01,"CRIMINAL DAMAGE",4995
2004-10-01,"CRIMINAL TRESPASS",1358
2004-10-01,"DECEPTIVE PRACTICE",1133
2004-10-01,"GAMBLING",102
2004-10-01,"HOMICIDE",34
2004-10-01,"INTERFERENCE WITH PUBLIC OFFICER",49
2004-10-01,"INTIMIDATION",33
2004-10-01,"KIDNAPPING",39
2004-10-01,"LIQUOR LAW VIOLATION",71
2004-10-01,"MOTOR VEHICLE THEFT",1930
2004-10-01,"NARCOTICS",5057
2004-10-01,"OBSCENITY",1
2004-10-01,"OFFENSE INVOLVING CHILDREN",238
2004-10-01,"OTHER OFFENSE",2438
2004-10-01,"PROSTITUTION",668
2004-10-01,"PUBLIC PEACE VIOLATION",253
2004-10-01,"ROBBERY",1514
2004-10-01,"SEX OFFENSE",148
2004-10-01,"STALKING",20
2004-10-01,"THEFT",8699
2004-10-01,"WEAPONS VIOLATION",372
2004-11-01,"ARSON",61
2004-11-01,"ASSAULT",2021
2004-11-01,"BATTERY",6188
2004-11-01,"BURGLARY",2204
2004-11-01,"CRIM SEXUAL ASSAULT",87
2004-11-01,"CRIMINAL DAMAGE",4539
2004-11-01,"CRIMINAL TRESPASS",1314
2004-11-01,"DECEPTIVE PRACTICE",1082
2004-11-01,"GAMBLING",64
2004-11-01,"HOMICIDE",32
2004-11-01,"INTERFERENCE WITH PUBLIC OFFICER",53
2004-11-01,"INTIMIDATION",24
2004-11-01,"KIDNAPPING",34
2004-11-01,"LIQUOR LAW VIOLATION",61
2004-11-01,"MOTOR VEHICLE THEFT",1851
2004-11-01,"NARCOTICS",4672
2004-11-01,"OFFENSE INVOLVING CHILDREN",242
2004-11-01,"OTHER OFFENSE",2260
2004-11-01,"PROSTITUTION",625
2004-11-01,"PUBLIC INDECENCY",1
2004-11-01,"PUBLIC PEACE VIOLATION",181
2004-11-01,"ROBBERY",1355
2004-11-01,"SEX OFFENSE",125
2004-11-01,"STALKING",23
2004-11-01,"THEFT",7397
2004-11-01,"WEAPONS VIOLATION",339
2004-12-01,"ARSON",51
2004-12-01,"ASSAULT",1874
2004-12-01,"BATTERY",5887
2004-12-01,"BURGLARY",2112
2004-12-01,"CRIM SEXUAL ASSAULT",126
2004-12-01,"CRIMINAL DAMAGE",3846
2004-12-01,"CRIMINAL TRESPASS",1239
2004-12-01,"DECEPTIVE PRACTICE",1134
2004-12-01,"GAMBLING",32
2004-12-01,"HOMICIDE",31
2004-12-01,"INTERFERENCE WITH PUBLIC OFFICER",42
2004-12-01,"INTIMIDATION",18
2004-12-01,"KIDNAPPING",47
2004-12-01,"LIQUOR LAW VIOLATION",58
2004-12-01,"MOTOR VEHICLE THEFT",1896
2004-12-01,"NARCOTICS",4301
2004-12-01,"OBSCENITY",3
2004-12-01,"OFFENSE INVOLVING CHILDREN",237
2004-12-01,"OTHER NARCOTIC VIOLATION",1
2004-12-01,"OTHER OFFENSE",2242
2004-12-01,"PROSTITUTION",400
2004-12-01,"PUBLIC PEACE VIOLATION",153
2004-12-01,"ROBBERY",1365
2004-12-01,"SEX OFFENSE",93
2004-12-01,"STALKING",13
2004-12-01,"THEFT",6786
2004-12-01,"WEAPONS VIOLATION",332
2005-01-01,"ARSON",37
2005-01-01,"ASSAULT",1860
2005-01-01,"BATTERY",5920
2005-01-01,"BURGLARY",1817
