"month","crime","count"
2001-05-01,"OTHER NARCOTIC VIOLATION",2
2001-05-01,"OTHER OFFENSE",2529
2001-05-01,"PROSTITUTION",503
2001-05-01,"PUBLIC INDECENCY",1
2001-05-01,"PUBLIC PEACE VIOLATION",239
2001-05-01,"RITUALISM",1
2001-05-01,"ROBBERY",1491
2001-05-01,"SEX OFFENSE",224
2001-05-01,"STALKING",11
2001-05-01,"THEFT",8417
2001-05-01,"WEAPONS VIOLATION",390
2001-06-01,"ARSON",87
2001-06-01,"ASSAULT",2767
2001-06-01,"BATTERY",8758
2001-06-01,"BURGLARY",2087
2001-06-01,"CRIM SEXUAL ASSAULT",165
2001-06-01,"CRIMINAL DAMAGE",4772
2001-06-01,"CRIMINAL TRESPASS",1087
2001-06-01,"DECEPTIVE PRACTICE",1228
2001-06-01,"GAMBLING",97
2001-06-01,"HOMICIDE",69
2001-06-01,"INTERFERENCE WITH PUBLIC OFFICER",43
2001-06-01,"INTIMIDATION",33
2001-06-01,"KIDNAPPING",119
2001-06-01,"LIQUOR LAW VIOLATION",143
2001-06-01,"MOTOR VEHICLE THEFT",2278
2001-06-01,"NARCOTICS",4034
2001-06-01,"OBSCENITY",1
2001-06-01,"OFFENSE INVOLVING CHILDREN",216
2001-06-01,"OTHER OFFENSE",2437
2001-06-01,"PROSTITUTION",443
2001-06-01,"PUBLIC INDECENCY",1
2001-06-01,"PUBLIC PEACE VIOLATION",228
2001-06-01,"ROBBERY",1448
2001-06-01,"SEX OFFENSE",204
2001-06-01,"STALKING",19
2001-06-01,"THEFT",8609
2001-06-01,"WEAPONS VIOLATION",349
2001-07-01,"ARSON",124
2001-07-01,"ASSAULT",3019
2001-07-01,"BATTERY",9112
2001-07-01,"BURGLARY",2499
2001-07-01,"CRIM SEXUAL ASSAULT",185
2001-07-01,"CRIMINAL DAMAGE",5271
2001-07-01,"CRIMINAL TRESPASS",1046
2001-07-01,"DECEPTIVE PRACTICE",1183
2001-07-01,"GAMBLING",99
2001-07-01,"HOMICIDE",78
2001-07-01,"INTERFERENCE WITH PUBLIC OFFICER",32
2001-07-01,"INTIMIDATION",23
2001-07-01,"KIDNAPPING",107
2001-07-01,"LIQUOR LAW VIOLATION",164
2001-07-01,"MOTOR VEHICLE THEFT",2569
2001-07-01,"NARCOTICS",3897
2001-07-01,"OBSCENITY",2
2001-07-01,"OFFENSE INVOLVING CHILDREN",208
2001-07-01,"OTHER NARCOTIC VIOLATION",2
2001-07-01,"OTHER OFFENSE",2622
2001-07-01,"PROSTITUTION",533
2001-07-01,"PUBLIC PEACE VIOLATION",213
2001-07-01,"ROBBERY",1658
2001-07-01,"SEX OFFENSE",242
2001-07-01,"STALKING",16
2001-07-01,"THEFT",9448
2001-07-01,"WEAPONS VIOLATION",336
2001-08-01,"ARSON",87
2001-08-01,"ASSAULT",3021
2001-08-01,"BATTERY",8368
2001-08-01,"BURGLARY",2451
2001-08-01,"CRIM SEXUAL ASSAULT",167
2001-08-01,"CRIMINAL DAMAGE",5107
2001-08-01,"CRIMINAL TRESPASS",1122
2001-08-01,"DECEPTIVE PRACTICE",1279
2001-08-01,"GAMBLING",109
2001-08-01,"HOMICIDE",58
2001-08-01,"INTERFERENCE WITH PUBLIC OFFICER",36
2001-08-01,"INTIMIDATION",16
2001-08-01,"KIDNAPPING",88
2001-08-01,"LIQUOR LAW VIOLATION",133
2001-08-01,"MOTOR VEHICLE THEFT",2341
2001-08-01,"NARCOTICS",4237
2001-08-01,"OBSCENITY",2
2001-08-01,"OFFENSE INVOLVING CHILDREN",185
2001-08-01,"OTHER OFFENSE",2612
2001-08-01,"PROSTITUTION",507
2001-08-01,"PUBLIC INDECENCY",2
2001-08-01,"PUBLIC PEACE VIOLATION",215
2001-08-01,"RITUALISM",1
2001-08-01,"ROBBERY",1704
2001-08-01,"SEX OFFENSE",210
2001-08-01,"STALKING",13
2001-08-01,"THEFT",9608
2001-08-01,"WEAPONS VIOLATION",351
2001-09-01,"ARSON",72
2001-09-01,"ASSAULT",2859
2001-09-01,"BATTERY",8012
2001-09-01,"BURGLARY",2393
2001-09-01,"CRIM SEXUAL ASSAULT",140
2001-09-01,"CRIMINAL DAMAGE",4695
2001-09-01,"CRIMINAL TRESPASS",1176
2001-09-01,"DECEPTIVE PRACTICE",1182
2001-09-01,"GAMBLING",104
2001-09-01,"HOMICIDE",71
2001-09-01,"INTERFERENCE WITH PUBLIC OFFICER",41
2001-09-01,"INTIMIDATION",27
2001-09-01,"KIDNAPPING",91
2001-09-01,"LIQUOR LAW VIOLATION",131
2001-09-01,"MOTOR VEHICLE THEFT",2514
2001-09-01,"NARCOTICS",3667
2001-09-01,"OBSCENITY",2
2001-09-01,"OFFENSE INVOLVING CHILDREN",171
2001-09-01,"OTHER NARCOTIC VIOLATION",1
2001-09-01,"OTHER OFFENSE",2291
2001-09-01,"PROSTITUTION",423
2001-09-01,"PUBLIC INDECENCY",1
2001-09-01,"PUBLIC PEACE VIOLATION",374
2001-09-01,"ROBBERY",1757
2001-09-01,"SEX OFFENSE",151
2001-09-01,"STALKING",11
2001-09-01,"THEFT",8772
2001-09-01,"WEAPONS VIOLATION",370
2001-10-01,"ARSON",100
2001-10-01,"ASSAULT",2621
2001-10-01,"BATTERY",8012
2001-10-01,"BURGLARY",2664
2001-10-01,"CRIM SEXUAL ASSAULT",148
2001-10-01,"CRIMINAL DAMAGE",5129
2001-10-01,"CRIMINAL TRESPASS",1142
2001-10-01,"DECEPTIVE PRACTICE",1281
2001-10-01,"GAMBLING",89
2001-10-01,"HOMICIDE",71
2001-10-01,"INTERFERENCE WITH PUBLIC OFFICER",21
2001-10-01,"INTIMIDATION",28
2001-10-01,"KIDNAPPING",59
2001-10-01,"LIQUOR LAW VIOLATION",123
2001-10-01,"MOTOR VEHICLE THEFT",2899
